Council District,reports,council_district_name,population,households,housing_units,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_any_race,median_household_income,per_capita_income,unemployment_rate,poverty_rate,pct_households_cash_public_assistance,pct_households_ssi,pct_vacant_housing_units,pct_renter_occupied_among_occupied_units,rental_vacancy_rate,median_gross_rent,median_home_value,pct_bachelors_or_higher_proxy,pct_high_school_grad_proxy,pct_households_broadband,pct_with_disability_proxy,pct_language_other_than_english_proxy
4,353,City Council District 4,161695,85201,113288,0.6952472247131946,0.02815176721605492,0.1390209963202325,0.08853087603203562,170217,145539,0.04844106921011502,0.0759384167899501,0.01639652116759193,0.01407260478163402,0.2479256408445731,0.6198870905271064,5.5,3192,1430697,0.6846284671758558,0.03972293515569436,0.9428410464665908,0.07412103033488976,0.2548254429636043
11,701,City Council District 11,176408,70655,73134,0.2462303296902635,0.2107557480386377,0.05830234456487234,0.4371797197406013,71756,40197,0.08791951785318769,0.1781566447819237,0.05566485032906376,0.06666194890665912,0.03389668280143299,0.6667610218668176,2.1,1659,418879,0.2690127431862501,0.1669935603827491,0.889250583822801,0.1384914516348465,0.4740091152328693
43,355,City Council District 43,151195,49258,53677,0.2929131254340421,0.0110387248255564,0.4812857568041271,0.1806673501107841,65331,29124,0.08973001942788236,0.2156980028578075,0.04918997929270372,0.09673555564578344,0.08232576336233396,0.6816151691095863,2.4,1697,1099515,0.1901451767584907,0.1791130659082642,0.8913272970887978,0.09084956513112206,0.7442243460431892
49,441,City Council District 49,156136,54385,61054,0.2893567146590152,0.2472908233847415,0.09976558897371522,0.3281113900701952,80438,37628,0.06698956092539558,0.1740479365182608,0.07947044221752321,0.075406821733934,0.1092311724047565,0.4868989611106003,6.3,1589,573491,0.2140761899882154,0.2083760311523288,0.8694676841040728,0.1048637085617667,0.3825062765793923
6,841,City Council District 6,172004,89524,111689,0.6883153880142322,0.03771423920373945,0.1190786260784633,0.1104567335643357,157157,142175,0.04771187775677379,0.094011022512683,0.01726911219337831,0.02202761270720701,0.198452846744084,0.6306353603502971,8.7,2859,1478514,0.6705425455221972,0.05020813469454199,0.94333363120504,0.09606171949489546,0.2572614590358364
32,311,City Council District 32,170596,57546,63002,0.39892494548524,0.05263312152688222,0.1424183450960163,0.3602370512790452,92041,43098,0.06823607590263592,0.1002244271202457,0.035780071594898,0.06050811524693289,0.08660042538332116,0.4076217287039933,3.8,1855,701779,0.2214588853197027,0.19835166123473,0.9071177840336426,0.1189125184646768,0.471798869844545
8,1926,City Council District 8,168016,68769,74498,0.1117572135987049,0.2675935625178554,0.06645200457099323,0.518551804590039,36445,31633,0.118519832928394,0.3501359421274943,0.121944480798034,0.1466649216943681,0.07690139332599533,0.9339527984993238,3.6,1223,718189,0.1940946100371393,0.1674364346252738,0.8090273233579084,0.1883570612322636,0.5126535568041138
50,381,City Council District 50,169689,58034,62150,0.6208298711171614,0.02549369729328359,0.1792868129342503,0.1453364684805733,101525,46659,0.05429853161081558,0.09043964713476296,0.02765620153703002,0.05598442292449254,0.06622687047465808,0.2994106902850053,4.1,1799,698592,0.2574474479783604,0.2099311092645958,0.907244029362098,0.1094296035688819,0.3789933348655481
14,609,City Council District 14,162132,59079,60463,0.02956849974095182,0.1981163496410332,0.01502479461179779,0.7368255495522167,42446,21608,0.1293830913569894,0.3064340649033953,0.09810592596354034,0.1212613619052455,0.02289003192034798,0.9296196618087644,1.1,1474,319684,0.1021204944119606,0.2014408013223793,0.8730174850623741,0.1563047393481854,0.6758813806034589
25,328,City Council District 25,157804,56849,62367,0.1310359686699957,0.0149996197815011,0.3662961648627411,0.4509074548173684,73208,35866,0.07100355135351255,0.1295205733191962,0.03964889443965593,0.04962268465584267,0.08847627751855949,0.6358071382082359,3,1886,518003,0.2471166763833616,0.199570353096246,0.8971837675244947,0.0992370282122126,0.7520088210691744
23,156,City Council District 23,165469,58222,61980,0.210184384990542,0.1043276988438922,0.4558799533447352,0.1560171391620183,98832,45476,0.06275857981151088,0.09034461726136016,0.02981690769812098,0.0461509395074027,0.0606324620845434,0.3273848373467074,4.8,2051,676192,0.3252029080975893,0.1633599042720993,0.9123527189035072,0.1153750853634215,0.5136188651650763
37,721,City Council District 37,161239,57311,61654,0.1271342541196609,0.2274387710169376,0.06721078647225547,0.5289353072147558,70912,32753,0.07458728137304156,0.2217609474832476,0.06517073511193314,0.08392804173718832,0.07044149609108898,0.7680026521959136,2.8,1864,737261,0.1890175453829409,0.2230849856424314,0.8745092565127114,0.1043047897841093,0.5056220889487035
