"","Council District","reports","confirmed_reports","population","households","housing_units","pct_white_nh","pct_black_nh","pct_asian_nh","pct_hispanic_any_race","median_household_income","per_capita_income","unemployment_rate","poverty_rate","pct_households_cash_public_assistance","pct_households_ssi","pct_vacant_housing_units","pct_renter_occupied_among_occupied_units","rental_vacancy_rate","median_gross_rent","median_home_value","pct_bachelors_or_higher_proxy","pct_high_school_grad_proxy","pct_households_broadband","pct_with_disability_proxy","pct_language_other_than_english_proxy","rate_all","rate_confirmed"
"1",29,381,89,171852,65968,70182,0.324988943975048,0.0531154714521798,0.275277564415893,0.243540953844005,97387,51346,0.0529958172632951,0.0969372793281017,0.0290140674266311,0.0506760853747271,0.0600438858966687,0.505881639582828,2.6,2020,618994,0.352006377580709,0.14441496171124,0.935438394373029,0.106836114796453,0.510008612061541,2.21702395084142,0.517887484579755
"2",35,1274,278,171534,74054,79922,0.375523219886436,0.345237678827521,0.0651299450837735,0.143493418214465,102837,65313,0.0752398319194482,0.151440841178511,0.0570664650120183,0.0722850892591892,0.0734215860463952,0.756596537661706,2.8,2050,1142075,0.423362132288642,0.10843331351219,0.904326572501148,0.106847622045775,0.231406018631875,7.42709900078119,1.62066995464456
"3",7,1112,300,160875,64193,73000,0.377765345765346,0.147400155400155,0.0975477855477856,0.33634188034188,85848,62397,0.088409783152248,0.209722690776601,0.05296527658779,0.0840122754817503,0.120643835616438,0.779165952673968,6.2,1804,1001803,0.420487956487957,0.0962797202797203,0.894225227049678,0.126974358974359,0.42613209013209,6.91219891219891,1.86480186480186
"4",18,368,141,164170,59985,63665,0.0264786501796918,0.266869708229275,0.116202716696108,0.549253822257416,51676,25976,0.102837074783088,0.252166468548482,0.0774026840043344,0.117312661498708,0.057802560276447,0.763890972743186,3.1,1507,546261,0.139453006030334,0.193153438508863,0.852629824122697,0.155527806541999,0.547328988243894,2.24157885119084,0.858865809831272
"5",31,196,60,181547,57427,60141,0.123554781957289,0.611422937310999,0.0333302120112147,0.178598379482999,83565,35169,0.080830058019839,0.158863770727176,0.0599717902728682,0.101676911557281,0.0451272842154271,0.516325073571665,2.1,1632,637133,0.18212363740519,0.193200658782574,0.890800494540895,0.115969969209075,0.254496080904669,1.07961023867098,0.330492930205401
"6",39,994,250,175480,70581,76160,0.620908365625712,0.0559436972874402,0.113175290631411,0.139890585821746,146162,88403,0.0630651999881401,0.0987826046971456,0.0426460378855499,0.0342726796163273,0.0732536764705882,0.610305889687026,3.1,2526,1406887,0.504946432641897,0.0765158422612263,0.922939601309134,0.0780715751082744,0.30253590152724,5.66446318668794,1.42466377934807
"7",40,1080,267,173551,69680,75290,0.233418418793323,0.497404221237561,0.0667872844293608,0.144263069645234,80766,46358,0.0638317893812342,0.155663889793829,0.0479190585533869,0.0700918484500574,0.0745118873688405,0.801549942594719,3.7,1741,864429,0.292138910176259,0.18990959429793,0.879018369690012,0.0955396396448306,0.324642324158317,6.2229546358131,1.5384526738538
"8",51,332,43,181572,62551,66273,0.746271451545392,0.00974819906152931,0.0984788403498337,0.123691978939484,114790,48188,0.0445960125918153,0.0695515811444316,0.019759875941232,0.0423174689453406,0.0561616344514357,0.205784080190564,4.9,1826,685198,0.279343731412332,0.197480889123874,0.910185288804336,0.095301037604917,0.273891348886392,1.82847575617386,0.236820655167096
"9",34,1022,360,166665,67409,70571,0.394725947259473,0.0860348603486035,0.0795787957879579,0.402406024060241,86779,50265,0.0795312659911984,0.204040732315026,0.0850628254387397,0.06957527926538,0.0448059401170452,0.870106365618834,2.2,2053,963752,0.327009270092701,0.135793357933579,0.888501535403284,0.0979389793897939,0.483478834788348,6.13206132061321,2.160021600216
"10",22,790,270,147999,64475,78667,0.506287204643275,0.049358441611092,0.137926607612214,0.25880580274191,96197,56079,0.0734880527935868,0.10596063364793,0.0373633191159364,0.0371151609150834,0.180406015228749,0.786196200077549,3.4,2158,863971,0.409644659761215,0.152088865465307,0.935789065529275,0.0891357374036311,0.467631538050933,5.33787390455341,1.82433665092332
